P//2.0                                                                                                                        

130220-12:14:44 	PPrintString(0x96179a8) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9623938) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9625dd0) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PSetCutterMode(1) 500---other error
130220-12:14:44 	PSetFont(0, 0, 1) 500---other error
130220-12:14:44 	PSetLineSpace(10) 500---other error
130220-12:14:44 	PSetLeftMargin(0) 500---other error
130220-12:14:44 	PSetCharSpace(0) 500---other error
130220-12:14:44 	PFeedLine(2) 500---other error
130220-12:14:55 	PInit(0x8057f38, 0x8057f38) 1---no printer
130220-12:14:55 	PPrinterIsReady() 500---other error
130220-12:14:55 	PPrinterIsReady() 500---other error
130220-12:14:55 	PPrinterIsReady() 500---other error
130220-12:14:55 	PSetCutterMode(0) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5d930) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PSetCutterMode(1) 500---other error
130220-12:14:55 	PPrintString(0x8b51638) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b564e8) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b53e38) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b58f50) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b578e0) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b518d0) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5f468) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b51d20) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b51af8) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5f720) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b54528) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b4d158) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b539b8) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5a3f0) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5ee38) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b57fc8) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b59580) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b58920) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5cb68) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b53f08) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b4f450) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b523a0) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b7c0a8) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b4e860) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b51400) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b4f208) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b4eaa8) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b4cb30) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b50ce0) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5b400) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b54018) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5ba30) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b52e40) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b52eb0) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b5cf70) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b59d50) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b59300) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PPrintString(0x8b59370) 500---other error
130220-12:14:55 	PFeedLine(1) 500---other error
130220-12:14:55 	PSetCutterMode(1) 500---other error
130220-12:14:55 	PSetFont(0, 0, 1) 500---other error
130220-12:14:55 	PSetLineSpace(10) 500---other error
